eButterfly_species,GBIF_species,GBIF_verbatimScientificName,LepTraits_name,BAMONA_name,Chowdhury_name,aveWingspan,black,gray,white,brown,red,orange,yellow,green,blue,pink,purple,eyespot,stripe,checker,tail,band,spot,colorDiversity,featureDiversity,is_migratory,notes
Papilio canadensis,Papilio canadensis,,,,,7.8,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,3,4,FALSE,
Papilio cresphontes,Papilio cresphontes,,,,,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,3,TRUE,
Papilio eurymedon,Papilio eurymedon,,,,,8.11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,FALSE,
Papilio glaucus,Papilio glaucus,,,,,11.08333333,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,4,4,FALSE,
Papilio indra,Papilio indra,,,,,6.575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,FALSE,
Papilio machaon,Papilio machaon,,,,,7.7,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,3,3,TRUE,
Papilio multicaudata,Papilio multicaudata,,,,,9.99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,FALSE,
Papilio palamedes,Papilio palamedes,,,,,14,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,2,3,FALSE,
,Papilio polyxenes,,Papilio polyxenes,Papilio polyxenes,,7.9985,,,,,,,,,,,,0,0,0,1,1,1,,3,,
Papilio rumiko,Papilio rumiko,,,,,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
Papilio rutulus,Papilio rutulus,,,,,8.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,FALSE,wingspan value is the average from BAMONA
Papilio troilus,Papilio troilus,,,,,9.9025,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,TRUE,
Papilio zelicaon,Papilio zelicaon,,,,,7.26,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,3,3,FALSE,
Parnassius clodius,Parnassius clodius,,,,,6.2625,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Parnassius smintheus,Parnassius smintheus,,,,,5.3125,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,TRUE,
Parrhasius m-album,Parrhasius m-album,,,,,3.25,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,5,2,FALSE,
,Philotes bernardino,,Euphilotes bernardino,Euphilotes bernardino,,1.9,,,,,,,,,,,,0,0,0,0,1,1,,2,,
Phocides polybius,"Phocides polybius, Phocides lilea",,Phocides polybius,Phocides polybius,,4.983335,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Phoebis agarithe,Phoebis agarithe,,,,,6.12,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,TRUE,
Phoebis philea,Phoebis philea,,,,,7.341742425,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,5,1,TRUE,
Phoebis sennae,Phoebis sennae,,,,,5.715328283,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,1,TRUE,
Pholisora catullus,Pholisora catullus,,,,,2.658333334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,TRUE,
Phyciodes batesii,Phyciodes batesii,,,,,3.56,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5,1,FALSE,
Phyciodes cocyta,,"Phyciodes cocyta, Phyciodes cocyta cocyta, Phyciodes cocyta incognitus, Phyciodes cocyta selenis",,,,3.591666667,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Phyciodes graphica,Phyciodes vesta,,Phyciodes graphica,Phyciodes graphica,,3.233315,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Phyciodes mylitta,Eresia aveyrona,,Phyciodes mylitta,Phyciodes mylitta,,3.116665,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4,1,TRUE,
Phyciodes phaon,Phyciodes phaon,,,,,3.03,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,1,FALSE,
Phyciodes pulchella,,"Phyciodes pulchella, Phyciodes pulchella camillus, Phyciodes pulchella montana, Phyciodes pulchella pulchella, Phyciodes pulchella tutchone",,,,3.5125,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Phyciodes tharos,Phyciodes tharos,"Phyciodes tharos, Phyciodes tharos orantain, Phyciodes tharos riocolorado, Phyciodes tharos tharos",,,,2.99,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Pieris angelika,Pieris angelika,,,,,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
Pieris marginalis,Pieris marginalis,,,,,4.1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,FALSE,
Pieris oleracea,Pieris oleracea,,,,,4.3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,FALSE,
Pieris rapae,Pieris rapae,,,,,4.498333334,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,6,1,TRUE,
Pieris virginiensis,Pieris virginiensis,,,,,4.05,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
Plebejus acmon,Icaricia acmon,,Icaricia acmon,,,2.3625,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,6,2,TRUE,
Plebejus anna,Plebejus anna,,,,,3.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FALSE,
Plebejus glandon,Agriades glandon,,Agriades glandon,,,2.228565,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,6,1,FALSE,
Plebejus icarioides,"Icaricia icarioides, Plebejus maricopa",,Icaricia icarioides,Plebejus icarioides,,2.8,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,FALSE,
Plebejus idas,"Lycaeides idas, Plebejus scudderii",,,,,2.575,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,FALSE,
Plebejus lupini,Icaricia lupini,,Icaricia lupini,,,2.3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,4,1,FALSE,
Plebejus melissa,Lycaeides melissa,,Plebejus melissa,Plebejus melissa,,2.775,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,1,FALSE,
Plebejus saepiolus,Icaricia saepiolus,,Icaricia saepiolus,,,2.825,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,5,1,FALSE,
Poanes hobomok,Lon hobomok,,,,,3.433333333,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,7,1,FALSE,
Poanes massasoit,Poanes massasoit,,,,,2.8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Poanes melane,Lon melane,,Poanes melane,Poanes melane,,3.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Poanes taxiles,Lon taxiles,,,,,3.929791667,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Poanes viator,Poanes viator,,,,,3.66,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Poanes zabulon,Lon zabulon,,,,,3.534479167,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,6,1,FALSE,
Polites mystic,Polites mystic,,,,,2.971428572,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,5,2,FALSE,
Polites origenes,Polites origenes,,,,,3.14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,FALSE,
Polites peckius,Polites coras,,Polites coras,,,2.5325,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Polites sabuleti,Polites sabuleti,,,,,2.216666667,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,FALSE,
Polites themistocles,Polites themistocles,,,,,2.56875,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Polites vibex,Polites vibex,,,,,2.879166667,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,6,1,FALSE,
Polygonia comma,Polygonia comma,,,,,5.175,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,TRUE,
Polygonia faunus,"Polygonia faunus, Polygonia hylas",,,,,4.87,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Polygonia gracilis,Polygonia gracilis,,,,,4.5875,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,6,1,FALSE,
Polygonia interrogationis,Polygonia interrogationis,,,,,6.1775,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,5,2,TRUE,
Polygonia oreas,Polygonia oreas,,,,,5.1625,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,5,1,FALSE,
Polygonia progne,Polygonia progne,,,,,5.2075,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,TRUE,
Polygonia satyrus,Polygonia satyrus,,,,,5.0375,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Polyommatus icarus,Polyommatus icarus,,,,,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,
Pompeius verna,Vernia verna,,,,,3.04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,FALSE,
Pontia beckerii,Pontia beckerii,,,,,4.0625,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Pontia occidentalis,Pontia occidentalis,,,,,4.14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,TRUE,
Pontia protodice,Pontia protodice,,,,,4.514285714,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,7,1,TRUE,
Pontia sisymbrii,Pontia sisymbrii,,,,,3.4625,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Problema byssus,Problema byssus,,,,,4.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Pyrgus centaureae,"Pyrgus centaureae, Pyrgus wyandot",,,,,2.5475,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,5,2,FALSE,
Pyrgus communis,Burnsius communis,,,,,2.771818182,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,5,3,TRUE,
Pyrgus oileus,Pyrgus oileus,Burnsius oileus,,,,2.73328125,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,2,FALSE,
Pyrgus ruralis,Pyrgus ruralis,,,,,2.358333334,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Pyrisitia lisa,Pyrisitia lisa,,,,Eurema lisa,3.128571429,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,TRUE,
Pyrisitia nise,Pyrisitia nise,,,,,3.050793651,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Pyrisitia proterpia,Pyrisitia proterpia,,,,,4.19625,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,FALSE,
Quasimellana eulogius,Mellana eulogius,,Quasimellana eulogius,Quasimellana eulogius,,2.975,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Satyrium acadica,Satyrium acadica,,,,,2.95,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,5,2,FALSE,
Satyrium behrii,Satyrium behrii,,,,,2.7125,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,4,2,FALSE,
Satyrium calanus,Satyrium calanus,"Satyrium calanus, Satyrium calanus calanus, Satyrium calanus falacer, Satyrium calanus godarti",,,,2.88,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,4,3,FALSE,
Satyrium californica,,"Satyrium californica, Satyrium californica cygnus, Satyrium californica obscurafacies",,,,2.87984375,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,4,3,FALSE,
Satyrium caryaevorus,Satyrium caryaevorus,,,,,2.85,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,5,3,FALSE,
Satyrium edwardsii,Satyrium edwardsii,,,,,2.89,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,3,3,FALSE,
Satyrium favonius,"Fixsenia favonius, Fixsenia ontario, Thecla autolycus",,Satyrium favonius,,,2.9,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,6,2,FALSE,
Satyrium liparops,Satyrium liparops,,,,,2.828571429,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,4,3,FALSE,
Satyrium sylvinus,"Strymon sylvinus, Thecla dryope, Thecla putnami",,Satyrium sylvinus,Satyrium sylvinus,,2.7375,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,8,3,FALSE,
Satyrium titus,Harkenclenus titus,,Satyrium titus,Satyrium titus,,2.90714,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Speyeria aphrodite,Speyeria aphrodite,,,,,6.91,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Speyeria atlantis,,"Speyeria atlantis, Speyeria atlantis canadensis, Speyeria atlantis hollandi ",,,,5.5775,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Speyeria callippe,"Speyeria callippe, Speyeria nevadensis",,,,,5.9375,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,TRUE,
Speyeria cybele,"Speyeria cybele, Speyeria leto",,,,,8.11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,FALSE,
Speyeria diana,Speyeria diana,,,,,10.03333333,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,FALSE,
Speyeria hesperis,,"Speyeria hesperis, Speyeria hesperis beani, Speyeria hesperis capitanensis, Speyeria hesperis chitone, Speyeria hesperis cottlei, Speyeria hesperis dodgei, Speyeria hesperis dorothea, Speyeria hesperis electa, Speyeria hesperis irene, Speyeria hesperis nausicaa, Speyeria hesperis ratonensis, Speyeria hesperis schellbachi, Speyeria hesperis tetonia",,,,5.683333333,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Speyeria hydaspe,Speyeria hydaspe,,,,,5.040416667,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Speyeria mormonia,Speyeria mormonia,,,,,4.85,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,5,1,FALSE,
Speyeria zerene,Speyeria zerene,,,,,5.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,FALSE,
Staphylus ceos,Staphylus ceos,,,,,2.475,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Staphylus mazans,Staphylus mazans,,,,,2.625,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,FALSE,
Strymon bazochii,Strymon bazochii,,,,,2.3275,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,2,FALSE,
Strymon melinus,"Strymon melinus, Thecla pudica",,,,,2.85,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,5,2,TRUE,
,Strymon saepium,,Satyrium saepium,Satyrium saepium,,2.75,,,,,,,,,,,,0,0,0,1,0,1,,2,,
Systasea pulverulenta,Systasea pulverulenta,,,,,2.675,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,FALSE,
Systasea zampa,Systasea zampa,,,,,3.15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,FALSE,
Texola elada,Texola elada,,,,,2.55,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Thorybes bathyllus,Thorybes daunus,,Thorybes bathyllus,Thorybes bathyllus,,3.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,FALSE,
Thorybes pylades,Thorybes pylades,,,,,3.594305556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,FALSE,
Thymelicus lineola,Thymelicus lineola,,,,,2.533333334,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,TRUE,
Urbanus dorantes,,"Thorybes dorantes, Thorybes dorantes calafia, Thorybes dorantes dorantes, Thorybes dorantes santiago",,,,3.563461539,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,3,4,TRUE,
Urbanus procne,Urbanus procne,,,,,4.3625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,FALSE,
Urbanus proteus,Urbanus proteus,,,,,4.220151516,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,4,2,TRUE,
Vanessa annabella,Vanessa annabella,,Vanessa annabella,Vanessa annabella,,4.6875,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,3,2,TRUE,
Vanessa atalanta,Vanessa atalanta,,,,,5.525,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,TRUE,
Vanessa cardui,Vanessa cardui,,,,,5.526463676,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,6,2,TRUE,
Vanessa virginiensis,Vanessa virginiensis,,,,,5.341666667,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,5,2,TRUE,
Wallengrenia otho,Polites otho,"Polites otho, Polites otho clavus, Polites otho otho",,,,2.9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Zerene cesonia,Zerene cesonia,,,,,5.267361111,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,TRUE,
